GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
0500000US01073,01073,"Jefferson County, Alabama",T1_POP$0500000US01073
0500000US01081,01081,"Lee County, Alabama",T1_POP$0500000US01081
0500000US01097,01097,"Mobile County, Alabama",T1_POP$0500000US01097
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",T1_POP$0500000US02164
0500000US05103,05103,"Ouachita County, Arkansas",T1_POP$0500000US05103
0500000US08005,08005,"Arapahoe County, Colorado",T1_POP$0500000US08005
0500000US08031,08031,"Denver County, Colorado",T1_POP$0500000US08031
0500000US11001,11001,"District of Columbia, District of Columbia",T1_POP$0500000US11001
0500000US12069,12069,"Lake County, Florida",T1_POP$0500000US12069
0500000US12083,12083,"Marion County, Florida",T1_POP$0500000US12083
0500000US12086,12086,"Miami-Dade County, Florida",T1_POP$0500000US12086
0500000US13051,13051,"Chatham County, Georgia",T1_POP$0500000US13051
0500000US13089,13089,"DeKalb County, Georgia",T1_POP$0500000US13089
0500000US13121,13121,"Fulton County, Georgia",T1_POP$0500000US13121
0500000US16019,16019,"Bonneville County, Idaho",T1_POP$0500000US16019
0500000US18003,18003,"Allen County, Indiana",T1_POP$0500000US18003
0500000US18053,18053,"Grant County, Indiana",T1_POP$0500000US18053
0500000US24005,24005,"Baltimore County, Maryland",T1_POP$0500000US24005
0500000US24510,24510,"Baltimore city, Maryland",T1_POP$0500000US24510
0500000US25021,25021,"Norfolk County, Massachusetts",T1_POP$0500000US25021
0500000US25025,25025,"Suffolk County, Massachusetts",T1_POP$0500000US25025
0500000US26163,26163,"Wayne County, Michigan",T1_POP$0500000US26163
0500000US34005,34005,"Burlington County, New Jersey",T1_POP$0500000US34005
0500000US34007,34007,"Camden County, New Jersey",T1_POP$0500000US34007
0500000US34017,34017,"Hudson County, New Jersey",T1_POP$0500000US34017
0500000US34019,34019,"Hunterdon County, New Jersey",T1_POP$0500000US34019
0500000US34021,34021,"Mercer County, New Jersey",T1_POP$0500000US34021
0500000US35035,35035,"Otero County, New Mexico",T1_POP$0500000US35035
0500000US37063,37063,"Durham County, North Carolina",T1_POP$0500000US37063
0500000US37077,37077,"Granville County, North Carolina",T1_POP$0500000US37077
0500000US39035,39035,"Cuyahoga County, Ohio",T1_POP$0500000US39035
0500000US39055,39055,"Geauga County, Ohio",T1_POP$0500000US39055
0500000US39085,39085,"Lake County, Ohio",T1_POP$0500000US39085
0500000US39155,39155,"Trumbull County, Ohio",T1_POP$0500000US39155
0500000US42029,42029,"Chester County, Pennsylvania",T1_POP$0500000US42029
0500000US42033,42033,"Clearfield County, Pennsylvania",T1_POP$0500000US42033
0500000US42045,42045,"Delaware County, Pennsylvania",T1_POP$0500000US42045
0500000US42065,42065,"Jefferson County, Pennsylvania",T1_POP$0500000US42065
0500000US42091,42091,"Montgomery County, Pennsylvania",T1_POP$0500000US42091
0500000US45021,45021,"Cherokee County, South Carolina",T1_POP$0500000US45021
0500000US45055,45055,"Kershaw County, South Carolina",T1_POP$0500000US45055
0500000US51003,51003,"Albemarle County, Virginia",T1_POP$0500000US51003
0500000US51059,51059,"Fairfax County, Virginia",T1_POP$0500000US51059
0500000US51199,51199,"York County, Virginia",T1_POP$0500000US51199
0500000US51510,51510,"Alexandria city, Virginia",T1_POP$0500000US51510
0500000US51540,51540,"Charlottesville city, Virginia",T1_POP$0500000US51540
0500000US51650,51650,"Hampton city, Virginia",T1_POP$0500000US51650
0500000US51700,51700,"Newport News city, Virginia",T1_POP$0500000US51700
0500000US51830,51830,"Williamsburg city, Virginia",T1_POP$0500000US51830
